Ранг ГЛ;Ранг РУ;Уровень;По-английски;По-французски;Инфинитив;Подробности;Разговорный;Неправильный;Группа ;Суффикс спряжения;Совершенный вид;Пара аспектов;Возвратный;Движение;Я;Ты;Он/Она/Оно;Мы;Вы;Они;Повелительное накл. 1;Повелительное накл. 2;Деепричастие Наст. время;Деепричастие Прош. время;Действит. причастие Наст. время;Действит. причастие Прош. время;Страдат. причастие Наст. время;Страдат. причастие Прош. время
842;4834;B2;twist;"tortiller; tordre";крутить;;;;;;несовер.;крутить/покрутить;not reflexive;not movement;кручу;крутишь;крутит;крутите;крутим;крутят;крути;крутите;крутя;крутив;крутящий;крутивший;крутимый;крученный
10000;10000;B2;twist;tortiller;покрутить;;;;;;совер.;крутить/покрутить;not reflexive;not movement;покручу;покрутишь;покрутит;покрутите;покрутим;покрутят;покрути;покрутите;;покрутив, *покрутивши, *покрутя;;покрутивший;;
843;4836;B2;listen (to);"écouter; prêter l'oreille (à)";прислушиваться;;;;;;несовер.;прислушиваться/прислушаться;reflexive;movement aspect unset;;;;;;;;;;;;;;
10000;10000;B2;listen (to);"écouter; prêter l'oreille (à)";прислушаться;;;;;;совер.;прислушиваться/прислушаться;reflexive;not movement;прислушаюсь;прислушаешься;прислушается;прислушаетесь;прислушаемся;прислушаются;прислушайся;прислушайтесь;прислушаясь;прислушавшись;прислушающийся;прислушавшийся;прислушающийся;прислушавшийся
844;4839;B2;"foresee; envisage";"prévoir; envisager les suites de";предусматривать;;;;;;несовер.;предусматривать/предусмотреть;not reflexive;not movement;предусматриваю;предусматриваешь;предусматривает;предусматриваете;предусматриваем;предусматривают;предусматривай;предусматривайте;предусматривая;предусматривав;предусматривающий;предусматривавший;предусматриваемый;
10000;10000;B2;"foresee; envisage";"prévoir; envisager les suites de";предусмотреть;;;;;;совер.;предусматривать/предусмотреть;not reflexive;not movement;предусмотрю;предусмотришь;предусмотрит;предусмотрите;предусмотрим;предусмотрят;предусмотри;предусмотрите;;предусмотрев, *предусмотревши;;предусмотревший;;предусмотренный
845;4854;B2;"glance (at); peep (in)";"regarder; jeter un coup d'œil";заглядывать;;;;;;несовер.;заглядывать/заглянуть;not reflexive;movement;заглядываю;заглядываешь;заглядывает;заглядываете;заглядываем;заглядывают;заглядывай;заглядывайте;заглядывая;заглядывав;заглядывающий;заглядывавший;заглядывающий;заглядывавший
10000;10000;B2;"glance (at); peep (in)";"regarder; jeter un coup d'œil";заглянуть;;;;;;совер.;заглядывать/заглянуть;not reflexive;movement;загляну;заглянешь;заглянет;заглянете;заглянем;заглянут;загляни;загляните;;заглянув, *заглянувши;;заглянувший;;
846;4862;B2;feel / be shy / self-conscious / embarrassed;se gêner;стесняться;;;;;;несовер.;стесняться/постесняться;reflexive;not movement;стесняюсь;стесняешься;стесняется;стесняетесь;стесняемся;стесняются;стесняйся;стесняйтесь;стесняясь;стеснявшись;стесняющийся;стеснявшийся;стесняющийся;стеснявшийся
10000;10000;B2;"be ashamed (of); hesitate";se gêner;постесняться;;;;;;совер.;стесняться/постесняться;reflexive;not movement;постесняюсь;постесняешься;постесняется;постесняетесь;постесняемся;постесняются;постесняйся;постесняйтесь;;постеснявшись;;постеснявшийся;;
847;4876;B2;"drift (on); carry";"apporter une quantité de; déposer";наносить;;;;;;несовер.;наносить/нанести;not reflexive;not movement;наношу;наносишь;наносит;наносите;наносим;наносят;наноси;наносите;;наносив;;наносивший;;наношенный
10000;10000;B2;"drift (on); carry";"apporter une quantité de; déposer";нанести;;;неправ.;;;совер.;наносить/нанести;not reflexive;not movement;нанесу;нанесёшь;нанесёт;нанесёте;нанесём;нанесут;нанеси;нанесите;;нанеся, *нанёсши;;нанёсший;;нанесённый
848;4880;B2;"sparkle; twinkle";"étinceler; briller";сверкать;;;;;;несовер.;сверкать/сверкнуть;not reflexive;movement;сверкаю;сверкаешь;сверкает;сверкаете;сверкаем;сверкают;сверкай;сверкайте;сверкая;сверкав;сверкающий;сверкавший;сверкающий;сверкавший
10000;10000;B2;flash;briller;сверкнуть;;;;;;совер.;сверкать/сверкнуть;not reflexive;movement;сверкну;сверкнёшь;сверкнёт;сверкнёте;сверкнём;сверкнут;сверкни;сверкните;;сверкнув, *сверкнувши;;сверкнувший;;
849;4890;B2;"let go; let off";"permettre à de s'en aller; laisser partir";отпускать;;;;;;несовер.;отпускать/отпустить;not reflexive;not movement;отпускаю;отпускаешь;отпускает;отпускаете;отпускаем;отпускают;отпускай;отпускайте;отпуская;отпускав;отпускающий;отпускавший;отпускаемый;
10000;10000;B2;"let go; let off";"permettre à de s'en aller; laisser partir";отпустить;;;;;;совер.;отпускать/отпустить;not reflexive;not movement;отпущу;отпустишь;отпустит;отпустите;отпустим;отпустят;отпусти;отпустите;;отпустив, *отпустивши;;отпустивший;;отпущенный
850;4895;B2;put in, contribute;mettre, contribuer;вкладывать;;;;;;несовер.;вкладывать/вложить;not reflexive;not movement;вкладываю;вкладываешь;вкладывает;вкладываете;вкладываем;вкладывают;вкладывай;вкладывайте;вкладывая;вкладывав;вкладывающий;вкладывавший;вкладываемый;
10000;10000;B2;put in, contribute;mettre, contribuer;вложить;;;неправ.;;;совер.;вкладывать/вложить;not reflexive;not movement;вложу;вложишь;вложит;вложите;вложим;вложат;вложи;вложите;;вложив, *вложивши;;вложивший;;вложенный
851;4897;B2;fix;fixer;зафиксировать;;;;;;совер.;;not reflexive;not movement;зафиксирую;зафиксируешь;зафиксирует;зафиксируете;зафиксируем;зафиксируют;зафиксируй;зафиксируйте;;зафиксировав;;зафиксировавший;;зафиксированный
852;4898;B2;"gladden; please";"réjouir; causer de la joie à";радовать;;;;;;несовер.;радовать/обрадовать;not reflexive;not movement;радую;радуешь;радует;радуете;радуем;радуют;радуй;радуйте;радуя;радовав;радующий;радовавший;радуемый;
10000;10000;B2;"gladden; please";"réjouir; causer de la joie à";обрадовать;;;;;;совер.;радовать/обрадовать;not reflexive;not movement;обрадую;обрадуешь;обрадует;обрадуете;обрадуем;обрадуют;обрадуй;обрадуйте;;обрадовав, *обрадовавши;;обрадовавший;;обрадованный
853;4906;B2;be felt;ressentir;чувствоваться;;;;;;несовер.;чувствоваться/перечувствовать;reflexive;not movement;чувствуюсь;чувствуешься;чувствуется;чувствуетесь;чувствуемся;чувствуются;чувствуйся;чувствуйтесь;чувствуясь;чувствовавшись;чувствующийся;чувствовавшийся;чувствующийся;чувствовавшийся
10000;10000;B2;"feel; have a sensation (of)";;перечувствовать;;;;;;совер.;чувствоваться/перечувствовать;not reflexive;not movement;перечувствую;перечувствуешь;перечувствует;перечувствуете;перечувствуем;перечувствуют;перечувствуй;перечувствуйте;;перечувствовав, *перечувствовавши;;перечувствовавший;;
854;4911;B2;"destroy; do away (with)";"détruire; anéantir";уничтожать;;;;;;несовер.;уничтожать/уничтожить;not reflexive;not movement;уничтожаю;уничтожаешь;уничтожает;уничтожаете;уничтожаем;уничтожают;уничтожай;уничтожайте;уничтожая;уничтожав;уничтожающий;уничтожавший;уничтожаемый;
10000;10000;B2;"destroy; do away (with)";"détruire; anéantir";уничтожить;;;неправ.;;;совер.;уничтожать/уничтожить;not reflexive;not movement;уничтожу;уничтожишь;уничтожит;уничтожите;уничтожим;уничтожат;уничтожь;уничтожьте;;уничтожив, *уничтоживши;;уничтоживший;;уничтоженный
855;4921;B2;"familiarize oneself (with); get to know";"se mettre au courant de; être mis au fait de";ознакомиться;;;;;;совер.;ознакомляться/ознакомиться;reflexive;not movement;ознакомлюсь;ознакомишься;ознакомится;ознакомитесь;ознакомимся;ознакомятся;ознакомься;ознакомьтесь;;ознакомившись;;ознакомившийся;;
10000;10000;B2;"familiarize oneself (with); get to know";"se mettre au courant de; être mis au fait de";ознакомляться;;;;;;несовер.;ознакомляться/ознакомиться;reflexive;not movement;ознакомляюсь;ознакомляешься;ознакомляется;ознакомляетесь;ознакомляемся;ознакомляются;ознакомляйся;ознакомляйтесь;ознакомляясь;ознакомлявшись;ознакомляющийся;ознакомлявшийся;ознакомляющийся;ознакомлявшийся
856;4925;B2;"break; burst";"se déchirer; (se) rompre";рваться;;;;;;несовер.;рваться/рвать;reflexive;not movement;рвусь;рвёшься;рвётся;рвётесь;рвёмся;рвутся;рвись;рвитесь;;рвавшись;рвущийся;рвавшийся;рвущийся;рвавшийся
857;4926;B2;"cost; come to";traiter;обходиться;;;;;;несовер.;обходиться/обойтись;reflexive;not movement;обхожусь;обходишься;обходится;обходитесь;обходимся;обходятся;;;;;обходящийся;обходившийся;обходящийся;обходившийся
10000;10000;B2;"cost; come to";traiter;обойтись;;;неправ.;;;совер.;обходиться/обойтись;reflexive;not movement;обойдусь;обойдёшься;обойдётся;обойдётесь;обойдёмся;обойдутся;обойдись;обойдитесь;ся;обойдясь;;обошедшийся;;обойдённыйся
858;4928;B2;"be fit (for); serve (for)";"convenir; être bon à; pouvoir servir";годиться;;;;;;несовер.;;reflexive;not movement;гожусь;годишься;годится;годитесь;годимся;годятся;годись;годитесь;годясь;годившись;годящийся;годившийся;годящийся;годившийся
859;4930;B2;"teach (smb. smth.); instruct";"apprendre à; enseigner à";обучать;;;;;;несовер.;обучать/обучить;not reflexive;not movement;обучаю;обучаешь;обучает;обучаете;обучаем;обучают;обучай;обучайте;обучая;обучав;обучающий;обучавший;обучаемый;
10000;10000;B2;"teach (smb. smth.); instruct";"apprendre à; enseigner à";обучить;;;;;;совер.;обучать/обучить;not reflexive;not movement;обучу;обучишь;обучит;обучите;обучим;обучат;обучи;обучите;;обучив, *обучивши;;обучивший;;обученный
860;4936;B2;"convince (of); try to convince (of)";"convaincre de; engager à";убеждать;;;;;;несовер.;убеждать/убедить;not reflexive;not movement;убеждаю;убеждаешь;убеждает;убеждаете;убеждаем;убеждают;убеждай;убеждайте;убеждая;убеждав;убеждающий;убеждавший;убеждаемый;
10000;10000;B2;"convince (of); convict (of)";"convaincre de; persuader de à";убедить;;;;;;совер.;убеждать/убедить;not reflexive;not movement;*убежу;убедишь;убедит;убедите;убедим;убедят;убеди;убедите;;убедив, *убедивши;;убедивший;;убеждённый
861;4938;B2;"let pass / in / through; admit";"laisser passer; faire passer";пропускать;;;;;;несовер.;пропускать/пропустить;not reflexive;movement;пропускаю;пропускаешь;пропускает;пропускаете;пропускаем;пропускают;пропускай;пропускайте;пропуская;пропускав;пропускающий;пропускавший;пропускаемый;
10000;10000;B2;"let pass / in / through; admit";"laisser passer; faire passer";пропустить;;;;;;совер.;пропускать/пропустить;not reflexive;not movement;пропущу;пропустишь;пропустит;пропустите;пропустим;пропустят;пропусти;пропустите;;пропустив, *пропустивши;;пропустивший;;пропущенный
862;4943;B2;"to reach; to follow";"s’étirer; s’étendre";потянуться;;;;;;совер.;тянуться/потянуться;reflexive;not movement;потянусь;потянешься;потянется;потянетесь;потянемся;потянутся;потянись;потянитесь;;потянувшись;;потянувшийся;;
863;4946;B2;wait (for, till);"attendre; voir";дожидаться;;;;;;несовер.;дожидаться/дождаться;reflexive;not movement;дожидаюсь;дожидаешься;дожидается;дожидаетесь;дожидаемся;дожидаются;дожидайся;дожидайтесь;дожидаясь;дожидавшись;дожидающийся;дожидавшийся;дожидающийся;дожидавшийся
10000;10000;B2;wait (for, till);"attendre; voir";дождаться;;;;;;совер.;дожидаться/дождаться;reflexive;not movement;дождусь;дождёшься;дождётся;дождётесь;дождёмся;дождутся;дождись;дождитесь;;дождавшись;;дождавшийся;;
864;4948;B2;whisper;"chuchoter; murmurer";шептать;;;;;;несовер.;шептать/прошептать;not reflexive;not movement;шепчу;шепчешь;шепчет;шепчете;шепчем;шепчут;шепчи;шепчите;шепча;шептав;шепчущий;шептавший;;шёптанный
10000;10000;B2;whisper;"chuchoter; murmurer";прошептать;;;;;;совер.;шептать/прошептать;not reflexive;not movement;прошепчу;прошепчешь;прошепчет;прошепчете;прошепчем;прошепчут;прошепчи;прошепчите;;прошептав, *прошептавши;;прошептавший;;
865;4958;B2;"change (into); change (from)";"transformer; changer";превращать;;;;;;несовер.;превращать/превратить;not reflexive;not movement;превращаю;превращаешь;превращает;превращаете;превращаем;превращают;превращай;превращайте;превращая;превращав;превращающий;превращавший;превращаемый;
10000;10000;B2;"change (into); change (from)";"transformer; changer";превратить;;;;;;совер.;превращать/превратить;not reflexive;not movement;превращу;превратишь;превратит;превратите;превратим;превратят;преврати;превратите;;превратив, *превративши;;превративший;;превращённый
866;4963;B2;"cultivate; till";"cultiver; labourer";разрабатывать;;;;;;несовер.;разрабатывать/разработать;not reflexive;not movement;разрабатываю;разрабатываешь;разрабатывает;разрабатываете;разрабатываем;разрабатывают;разрабатывай;разрабатывайте;разрабатывая;разрабатывав;разрабатывающий;разрабатывавший;разрабатываемый;
10000;10000;B2;"cultivate; till";"cultiver; labourer";разработать;;;;;;совер.;разрабатывать/разработать;not reflexive;not movement;разработаю;разработаешь;разработает;разработаете;разработаем;разработают;разработай;разработайте;;разработав, *разработавши;;разработавший;;разработанный
867;4973;B2;"resist; oppose";"résister; se défendre";сопротивляться;;;;;;несовер.;;reflexive;not movement;сопротивляюсь;сопротивляешься;сопротивляется;сопротивляетесь;сопротивляемся;сопротивляются;сопротивляйся;сопротивляйтесь;сопротивляясь;сопротивлявшись;сопротивляющийся;сопротивлявшийся;сопротивляющийся;сопротивлявшийся
868;4977;B2;grasp;prendre;захватывать;;;;;;несовер.;захватывать/захватать;not reflexive;not movement;захватываю;захватываешь;захватывает;захватываете;захватываем;захватывают;захватывай;захватывайте;захватывая;захватывав;захватывающий;захватывавший;захватываемый;
10000;10000;B2;"soil (with one's fingers); thumb";salir (par l'usage);захватать;;разг.;;;;совер.;захватывать/захватать;not reflexive;not movement;захватаю;захватаешь;захватает;захватаете;захватаем;захватают;захватай;захватайте;;захватав, *захватавши;;захватавший;;захватанный
869;4982;B2;publish;"publier annoncer; mettre une annonce";публиковать;;;;;;несовер.;публиковать/опубликовать;not reflexive;not movement;публикую;публикуешь;публикует;публикуете;публикуем;публикуют;публикуй;публикуйте;публикуя;публиковав;публикующий;публиковавший;публикуемый;публикованный
870;4985;B2;inquire (after, about);"venir à bout de; de";справляться;;;;;;несовер.;справляться/справиться;reflexive;not movement;;;справляется;;;справляются;;;;;справляющийся;справлявшийся;справляющийся;справлявшийся
10000;10000;B2;inquire (after, about);"venir à bout de; de";справиться;;;;;;несовер.;справиться/справляться;reflexive;not movement;справлюсь;справишься;справится;справитесь;справимся;справятся;справься;справьтесь;ся;справив, *справившись;;справившийся;;справленныйся
871;4987;B2;"denote; designate";"marquer; jalonner";обозначать;;;неправ.;;;несовер.;обозначать/обозначить;not reflexive;not movement;обозначаю;обозначаешь;обозначает;обозначаете;обозначаем;обозначают;обозначай;обозначайте;обозначая;обозначав;обозначающий;обозначавший;обозначаемый;
10000;10000;B2;"denote; designate";"marquer; jalonner";обозначить;;;;;;совер.;обозначать/обозначить;not reflexive;not movement;обозначу;обозначишь;обозначит;обозначите;обозначим;обозначат;обозначь;обозначьте;;обозначив, *обозначивши;;обозначивший;;обозначенный
872;4988;B2;"shake up; stir up";"agiter; secouer";болтать;;;;;;несовер.;болтать/взболтать;not reflexive;not movement;болтаю;болтаешь;болтает;болтаете;болтаем;болтают;болтай;болтайте;болтая;болтав;болтающий;болтавший;болтаемый;болтанный
10000;10000;B2;"shake up; stir up";"agiter; secouer";взболтать;;;;;;совер.;болтать/взболтать;not reflexive;not movement;взболтаю;взболтаешь;взболтает;взболтаете;взболтаем;взболтают;взболтай;взболтайте;;взболтая, взболтав, *взболтавши;;взболтавший;;взболтанный
873;4989;B2;"be reflected; reverberate";se refléter;отражаться;;;;;;несовер.;отражаться/отразиться;reflexive;not movement;отражаюсь;отражаешься;отражается;отражаетесь;отражаемся;отражаются;отражайся;отражайтесь;отражаясь;отражавшись;отражающийся;отражавшийся;отражающийся;отражавшийся
10000;10000;B2;"be reflected; reverberate";se refléter;отразиться;;;;;;совер.;отражаться/отразиться;reflexive;not movement;отражусь;отразишься;отразится;отразитесь;отразимся;отразятся;отразись;отразитесь;;отразившись, отразясь;;отразившийся;;
874;4992;B2;"regulate; settle";régler;регулировать;;;;;;не/совер.;;not reflexive;not movement;регулирую;регулируешь;регулирует;регулируете;регулируем;регулируют;регулируй;регулируйте;регулируя;регулировав;регулирующий;регулировавший;регулируемый;регулированный
875;4995;B2;open;ouvrir;раскрывать;;;;;;несовер.;раскрывать/раскрыть;not reflexive;not movement;раскрываю;раскрываешь;раскрывает;раскрываете;раскрываем;раскрывают;раскрывай;раскрывайте;раскрывая;раскрывав;раскрывающий;раскрывавший;раскрываемый;
10000;10000;B2;open;ouvrir;раскрыть;;;;;;совер.;раскрывать/раскрыть;not reflexive;not movement;раскрою;раскроешь;раскроет;раскроете;раскроем;раскроют;раскрой;раскройте;;раскрыв, *раскрывши;;раскрывший;;раскрытый
876;5019;B2;"publish; print";"éditer; publier";издавать;;;;;;несовер.;издавать/издать;not reflexive;not movement;издаю;издаёшь;издаёт;издаёте;издаём;издают;издавай;издавайте;издавая;издавав;издающий;издававший;издаваемый;
10000;10000;B2;"publish; print";"éditer; publier";издать;;;неправ.;;;совер.;издавать/издать;not reflexive;not movement;издам;издашь;издаст;издадите;издадим;издадут;издай;издайте;;издав, *издавши;;издавший;;изданный
877;5029;B2;"confine; limit (to)";"restreindre; limiter";ограничивать;;;;;;несовер.;ограничивать/ограничить;not reflexive;not movement;ограничиваю;ограничиваешь;ограничивает;ограничиваете;ограничиваем;ограничивают;ограничивай;ограничивайте;ограничивая;ограничивав;ограничивающий;ограничивавший;ограничиваемый;
10000;10000;B2;"confine; limit (to)";"restreindre; limiter";ограничить;;;;;;совер.;ограничивать/ограничить;not reflexive;not movement;ограничу;ограничишь;ограничит;ограничите;ограничим;ограничат;ограничь;ограничьте;;ограничив, *ограничивши;;ограничивший;;ограниченный
878;5031;B2;"conclude, close; imprison";"conclure, enfermer; emprisonner";заключать;;;;;;несовер.;заключать/заключить;not reflexive;not movement;заключаю;заключаешь;заключает;заключаете;заключаем;заключают;заключай;заключайте;заключая;заключав;заключающий;заключавший;заключаемый;
10000;10000;B2;"conclude, close; imprison";"conclure, enfermer; emprisonner";заключить;;;;;;совер.;заключать/заключить;not reflexive;not movement;заключу;заключишь;заключит;заключите;заключим;заключат;заключи;заключите;;заключив, *заключивши;;заключивший;;заключённый
879;5051;B2;"oscillate; vibrate";"être ébranlé; vibrer";колебаться;;;;;;несовер.;колебаться/поколебаться;reflexive;not movement;колеблюсь;колеблешься;колеблется;колеблетесь;колеблемся;колеблются;колеблись;колеблитесь;колеблясь;колебавшись;колеблющийся;колебавшийся;колеблющийся;колебавшийся
10000;10000;B2;"oscillate; vibrate";"être ébranlé; hésiter";поколебаться;;;;;;совер.;колебаться/поколебаться;reflexive;not movement;поколеблюсь;поколеблешься;поколеблется;поколеблетесь;поколеблемся;поколеблются;поколеблись;поколеблитесь;;поколебавшись;;поколебавшийся;;
880;5055;B2;"adore; worship";"adorer; idolâtrer";обожать;;;;;;несовер.;;not reflexive;not movement;обожаю;обожаешь;обожает;обожаете;обожаем;обожают;обожай;обожайте;обожая;обожав;обожающий;обожавший;обожаемый;
881;5063;B2;"sink; fall";"tomber; s'incliner";опускаться;;;;;;несовер.;опускаться/опуститься;reflexive;not movement;опускаюсь;опускаешься;опускается;опускаетесь;опускаемся;опускаются;опускайся;опускайтесь;опускаясь;опускавшись;опускающийся;опускавшийся;опускающийся;опускавшийся
10000;10000;B2;"sink; fall";"tomber; s'incliner";опуститься;;;;;;совер.;опускаться/опуститься;reflexive;not movement;опущусь;опустишься;опустится;опуститесь;опустимся;опустятся;опустись;опуститесь;;опустившись, опустясь;;опустившийся;;
882;5067;B2;"burn down / out; perish";être brûlé;сгореть;;;;;;совер.;сгорать/сгореть;not reflexive;movement;сгорю;сгоришь;сгорит;сгорите;сгорим;сгорят;сгори;сгорите;;сгорев;;сгоревший;;
10000;10000;B2;"burn down / out; perish";être brûlé;сгорать;;;;;;несовер.;сгорать/сгореть;not reflexive;movement;сгораю;сгораешь;сгорает;сгораете;сгораем;сгорают;сгорай;сгорайте;сгорая;сгорав, *сгоравши;сгорающий;сгоравший;сгорающий;сгоравший
883;5070;B2;"rock; swing";"balancer; ballotter";качать;;;;;;несовер.;качать/качнуть;not reflexive;not movement;качаю;качаешь;качает;качаете;качаем;качают;качай;качайте;качая;качав;качающий;качавший;качаемый;качанный
10000;10000;B2;"rock; swing";chanceler;качнуть;;;;;;совер.;качать/качнуть;not reflexive;not movement;качну;качнёшь;качнёт;качнёте;качнём;качнут;качни;качните;;качнув, *качнувши;;качнувший;;-
884;5076;B2;"embrace; hug";"serrer dans ses bras; étreindre";обнимать;;;;;;несовер.;обнимать/обнять;not reflexive;not movement;обнимаю;обнимаешь;обнимает;обнимаете;обнимаем;обнимают;обнимай;обнимайте;обнимая;обнимав;обнимающий;обнимавший;обнимаемый;
10000;10000;B2;"embrace; hug";"serrer dans ses bras; étreindre";обнять;;;неправ.;;;совер.;обнимать/обнять;not reflexive;not movement;обниму;обнимешь;обнимет;обнимете;обнимем;обнимут;обними;обнимите;;обняв, *обнявши;;обнявший;;обнятый
885;5082;B2;"light (up); illuminate";"éclairer; illuminer";освещать;;;;;;несовер.;освещать/осветить;not reflexive;not movement;освещаю;освещаешь;освещает;освещаете;освещаем;освещают;освещай;освещайте;освещая;освещав;освещающий;освещавший;освещаемый;
10000;10000;B2;"light (up); illuminate";"éclairer; illuminer";осветить;;;неправ.;;;совер.;освещать/осветить;not reflexive;not movement;освещу;осветишь;осветит;осветите;осветим;осветят;освети;осветите;;осветив, *осветивши;;осветивший;;освещённый
886;5086;B2;"satisfy; content";"satisfaire; contenter";удовлетворять;;;;;;несовер.;удовлетворять/удовлетворить;not reflexive;not movement;удовлетворяю;удовлетворяешь;удовлетворяет;удовлетворяете;удовлетворяем;удовлетворяют;удовлетворяй;удовлетворяйте;удовлетворяя;удовлетворяв;удовлетворяющий;удовлетворявший;удовлетворяемый;
10000;10000;B2;"satisfy; content";"satisfaire; contenter";удовлетворить;;;;;;совер.;удовлетворять/удовлетворить;not reflexive;not movement;удовлетворю;удовлетворишь;удовлетворит;удовлетворите;удовлетворим;удовлетворят;удовлетвори;удовлетворите;;удовлетворив, *удовлетворивши;;удовлетворивший;;удовлетворённый
887;5109;B2;"hold in; keep back";"retenir; réprimer";сдерживать;;;;;;несовер.;сдерживать/сдержать;not reflexive;not movement;сдерживаю;сдерживаешь;сдерживает;сдерживаете;сдерживаем;сдерживают;сдерживай;сдерживайте;сдерживая;сдерживав;сдерживающий;сдерживавший;сдерживаемый;
10000;10000;B2;"hold in; keep back";"retenir; réprimer";сдержать;;;;;;совер.;сдерживать/сдержать;not reflexive;not movement;сдержу;сдержишь;сдержит;сдержите;сдержим;сдержат;сдержи;сдержите;;сдержав, *сдержавши;;сдержавший;;сдержанный
888;5118;B2;"spell; be spelled";s'érire;писаться;;;;;;несовер.;писаться/написаться;reflexive;not movement;пишусь;пишешься;пишется;пишетесь;пишемся;пишутся;пишись;пишитесь;;писавшись;пишущийся;писавшийся;пишущийся;писавшийся
10000;10000;B2;"write; type";écrire;написаться;;;;;;несовер.;написаться/писаться;reflexive;not movement;;;;;;;напишись;напишитесь;;написавшись;;написавшийся;;
889;5128;B2;stimulate;stimuler;стимулировать;;;;;;не/совер.;;not reflexive;not movement;стимулирую;стимулируешь;стимулирует;стимулируете;стимулируем;стимулируют;стимулируй;стимулируйте;стимулируя;стимулировав;стимулирующий;стимулировавший;стимулируемый;стимулированный
890;5133;B2;"lower; sink";"baisser; abaisser";опускать;;;;;;несовер.;опускать/опустить;not reflexive;not movement;опускаю;опускаешь;опускает;опускаете;опускаем;опускают;опускай;опускайте;опуская;опускав;опускающий;опускавший;опускаемый;
10000;10000;B2;"lower; sink";"baisser; abaisser";опустить;;;;;;совер.;опускать/опустить;not reflexive;not movement;опущу;опустишь;опустит;опустите;опустим;опустят;опусти;опустите;;опустив, *опустивши;;опустивший;;опущенный
891;5144;B2;"attack; fall (up)on";напасть I;нападать;;;;;;несовер.;нападать/напасть;not reflexive;movement;нападаю;нападаешь;нападает;нападаете;нападаем;нападают;нападай;нападайте;;нападав;;нападавший;;
10000;10000;B2;"misfortune; bad luck";"attaquer; se jeter sur";напасть;;;;;;совер.;нападать/напасть;not reflexive;movement;нападу;нападёшь;нападёт;нападёте;нападём;нападут;напади;нападите;;напав, *напавши;;напавший;;
892;5147;B2;"treat; be";"traiter; accueillir";относиться;;;;;;несовер.;относиться/отнестись;reflexive;not movement;отношусь;относишься;относится;относитесь;относимся;относятся;относись;относитесь;относясь;относившись;относящийся;относившийся;относящийся;относившийся
10000;10000;B2;"treat; be";"traiter; accueillir";отнестись;;;неправ.;;;совер.;относиться/отнестись;reflexive;not movement;отнесусь;отнесёшься;отнесётся;отнесётесь;отнесёмся;отнесутся;отнесись;отнеситесь;;отнесясь, *отнесшись, *отнёсшись;;отнёсшийся;;
893;5148;B2;"(com)press; squeeze";сжать I;сжимать;;;;;;несовер.;сжимать/сжать;not reflexive;not movement;сжимаю;сжимаешь;сжимает;сжимаете;сжимаем;сжимают;сжимай;сжимайте;сжимая;сжимав;сжимающий;сжимавший;сжимаемый;
10000;10000;B2;gripe;"serrer; abréger";сжать;;;;;;совер.;сжимать/сжать;not reflexive;not movement;сожну;сожнёшь;сожнёт;сожнёте;сожнём;сожнут;сожни;сожните;;сжав, *сжавши;;сжавший;;сжатый
894;5149;B2;"excel (in); surpass (in)";"surpasser; l'emporter sur";превосходить;;;;;;несовер.;превосходить/превзойти;not reflexive;not movement;превосхожу;превосходишь;превосходит;превосходите;превосходим;превосходят;превосходи;превосходите;превосходя;превосходив;превосходящий;превосходивший;;
10000;10000;B2;"excel (in); surpass (in)";"surpasser; l'emporter sur";превзойти;;;неправ.;;;совер.;превосходить/превзойти;not reflexive;not movement;превзойду;превзойдёшь;превзойдёт;превзойдёте;превзойдём;превзойдут;превзойди;превзойдите;;превзойдя;;превзошедший;;превзойдённый
895;5153;B2;"stretch; extend";tendre;протягивать;;;;;;несовер.;протягивать/протянуть;not reflexive;not movement;протягиваю;протягиваешь;протягивает;протягиваете;протягиваем;протягивают;протягивай;протягивайте;протягивая;протягивав;протягивающий;протягивавший;протягиваемый;
10000;10000;B2;"delay; drag out";"tendre; étendre";протянуть;;;;;;совер.;протягивать/протянуть;not reflexive;not movement;протяну;протянешь;протянет;протянете;протянем;протянут;протяни;протяните;;протянув, *протянувши;;протянувший;;протянутый
896;5155;B2;guard, keep;garder, conserver;беречь;что-то;;неправ.;;;несовер.;беречь/поберечь;not reflexive;not movement;берегу;бережёшь;бережёт;бережёте;бережём;берегут;береги;берегите;;берёгши;берегущий;берёгший;;бережённый
10000;10000;B2;guard, keep;garder, conserver;поберечь;что-то;;;;;поберечь;беречь/поберечь;;;;;;;;;;;;;;;;
897;5165;B2;"ignore; disregard";"ignorer; méconnaître";игнорировать;;;;;;не/совер.;;not reflexive;not movement;игнорирую;игнорируешь;игнорирует;игнорируете;игнорируем;игнорируют;игнорируй;игнорируйте;игнорируя;игнорировав;игнорирующий;игнорировавший;игнорируемый;игнорированный
898;5175;B2;"lower; bring down";abaisser;снижать;;;;;;несовер.;снижать/снизить;not reflexive;not movement;снижаю;снижаешь;снижает;снижаете;снижаем;снижают;снижай;снижайте;снижая;снижав;снижающий;снижавший;снижаемый;
10000;10000;B2;"lower; bring down";abaisser;снизить;;;;;;совер.;снижать/снизить;not reflexive;not movement;снижу;снизишь;снизит;снизите;снизим;снизят;снизь;снизьте;;снизив, *снизивши;;снизивший;;сниженный
